tree,deathprob,exact_logL,approx_logL
8,0.18,-791.7844981465781,-788.3905654066496
8,0.19,-788.0298447615248,-784.9974138975952
8,0.20,-784.704774729004,-782.0059183774083
8,0.21,-781.7977315126154,-779.4064967019505
8,0.22,-779.2995422328954,-777.1915650093192
8,0.23,-777.2030740474979,-775.3555196711492
8,0.24,-775.5029855155793,-773.8941393343619
8,0.25,-774.195468498349,-772.8046606916948
8,0.26,-773.2780647085173,-772.0855464071853
8,0.27,-772.7494848290064,-771.7363705387281
8,0.28,-772.6094431754083,-771.7576381643626
8,0.29,-772.8585059471942,-772.150746634816
8,0.30,-773.497938468424,-772.9177584219634
8,0.31,-774.5295497046174,-774.0613277945356
8,0.32,-775.955535862949,-775.5845379841408
8,0.33,-777.7783152246565,-777.4907525138456
8,0.34,-780.0003557959815,-779.7834439136582
8,0.35,-782.6239978185721,-782.4660195445538
8,0.36,-785.6512739238635,-785.5416363362908
8,0.37,-789.0837338326245,-789.0130092686517
8,0.38,-792.9222804007637,-792.8822308267124
8,0.39,-797.1670278593024,-797.1506077102214
8,0.40,-801.8171886800686,-801.818521449245
8,0.41,-806.8710020355584,-806.885327757254
8,0.42,-812.3257072918301,-812.3493027580279
8,0.43,-818.1775686131792,-818.2076446551034
8,0.44,-824.4219523047105,-824.456528876501
8,0.45,-831.0534686425947,-831.0912436284176
8,0.46,-838.0663691430861,-838.1065786528528
8,0.47,-845.4627561208482,-845.5050378272831
8,0.48,-853.2077575668276,-853.2520457320395
8,0.49,-861.3236617334347,-861.3700504852111
8,0.50,-869.7940413999105,-869.8427160968471
9,0.00,NaN,NaN
9,0.01,NaN,-941.0522041282335
9,0.02,NaN,-888.7998577508073
9,0.03,NaN,-855.247566635558
9,0.04,-863.5234031090977,-830.1377965382617
9,0.05,-824.7186887108845,-810.0228438968805
9,0.06,-806.4284849930699,-793.2845106397731
9,0.07,-787.331271378555,-779.0211806556157
9,0.08,-773.841941076535,-766.6740515155028
9,0.09,-762.0824696121944,-755.8706353284048
9,0.10,-751.7514411984589,-746.3491731779015
9,0.11,-742.6276385924667,-737.9182398606667
9,0.12,-734.5451461845771,-730.4327216115678
9,0.13,-727.3760372602208,-723.7824271280954
9,0.14,-721.0196819025275,-717.8787497435179
9,0.15,-715.3956349515365,-712.6513028945726
9,0.16,-710.4387489014804,-708.0430472070043
9,0.17,-706.095721151843,-704.0073092624978
9,0.18,-702.3225949524764,-700.5056158417264
9,0.19,-699.0829112487233,-697.5060862961461
9,0.20,-696.3463146975009,-694.982215733888
9,0.21,-694.0874825422593,-692.9119372790742
9,0.22,-692.2852866211887,-691.2768869965105
9,0.23,-690.9221259675262,-690.061818138851
9,0.24,-689.983385699441,-689.2541267955637
9,0.25,-689.4569904560078,-688.8434615668143
9,0.26,-689.3330294851405,-688.8213972497856
9,0.27,-689.6034368807267,-689.1811577823457
9,0.28,-690.2617151633306,-689.9173775240175
9,0.29,-691.3026938896635,-691.0258928238406
9,0.30,-692.722317549812,-692.5035579975261
9,0.31,-694.5174588267112,-694.3480814930622
9,0.32,-696.6857544204206,-696.5578792329699
9,0.33,-699.22546110793,-699.1319429052141
9,0.34,-702.1353295594985,-702.0697213288217
9,0.35,-705.414492793662,-705.371012970258
9,0.36,-709.0623653119081,-709.0358673461621
9,0.37,-713.0785483855027,-713.0644926627459
9,0.38,-717.462737269153,-717.457166987001
9,0.39,-722.2146278218951,-722.2141509510845
9,0.40,-727.3338233506844,-727.3356018378234
9,0.41,-732.8197474228829,-732.8214923097137
9,0.42,-738.6715762593071,-738.6715439342931
