tree,param,value,logL,method
11,lifetime,5.0,-601.3663483235998,bdmm
11,lifetime,5.2,-601.4926935745785,bdmm
11,lifetime,5.4,-601.7966206439328,bdmm
11,lifetime,5.6,-602.2516239570465,bdmm
11,lifetime,5.8,-602.8353593535401,bdmm
11,lifetime,6.0,-603.528903422228,bdmm
11,lifetime,6.2,-604.316161907964,bdmm
11,lifetime,6.4,-605.1833937119571,bdmm
11,lifetime,6.6,-606.1188252810554,bdmm
11,lifetime,6.8,-607.1123362323642,bdmm
11,lifetime,7.0,-608.155201530166,bdmm
11,lifetime,7.2,-609.2398788668565,bdmm
11,lifetime,7.4,-610.3598324095035,bdmm
11,lifetime,7.6,-611.5093859786466,bdmm
11,lifetime,7.8,-612.683600183371,bdmm
11,lifetime,8.0,-613.878169160019,bdmm
11,lifetime,8.2,-615.0893334338512,bdmm
11,lifetime,8.4,-616.3138061043226,bdmm
11,lifetime,8.6,-617.5487100904126,bdmm
11,lifetime,8.8,-618.7915245962931,bdmm
11,lifetime,9.0,-620.04003929481,bdmm
11,lifetime,9.2,-621.2923149959666,bdmm
11,lifetime,9.4,-622.5466497844482,bdmm
11,lifetime,9.6,-623.8015497854244,bdmm
11,lifetime,9.8,-625.0557038600789,bdmm
11,lifetime,10.0,-626.3079616482584,bdmm
11,deathprob,0.00,-603.7136997681306,bdmm
11,deathprob,0.01,-603.286645202011,bdmm
11,deathprob,0.02,-602.8998376235754,bdmm
11,deathprob,0.03,-602.5541718264385,bdmm
11,deathprob,0.04,-602.2505647926214,bdmm
11,deathprob,0.05,-601.989955915704,bdmm
11,deathprob,0.06,-601.7733071746422,bdmm
11,deathprob,0.07,-601.6016032509635,bdmm
11,deathprob,0.08,-601.4758515814308,bdmm
11,deathprob,0.09,-601.3970823376628,bdmm
11,deathprob,0.10,-601.3663483235998,bdmm
11,deathprob,0.11,-601.3847247811361,bdmm
11,deathprob,0.12,-601.453309093748,bdmm
11,deathprob,0.13,-601.5732203775061,bdmm
11,deathprob,0.14,-601.7455989485618,bdmm
11,deathprob,0.15,-601.9716056560164,bdmm
11,deathprob,0.16,-602.2524210691129,bdmm
11,deathprob,0.17,-602.5892445079293,bdmm
11,deathprob,0.18,-602.9832929072861,bdmm
11,deathprob,0.19,-603.4357995044345,bdmm
11,deathprob,0.20,-603.9480123423361,bdmm
11,deathprob,0.21,-604.5211925820291,bdmm
11,deathprob,0.22,-605.1566126197503,bdmm
11,deathprob,0.23,-605.8555540072076,bdmm
11,deathprob,0.24,-606.619305176711,bdmm
11,deathprob,0.25,-607.4491589767949,bdmm
11,deathprob,0.26,-608.3464100285512,bdmm
11,deathprob,0.27,-609.3123519180909,bdmm
11,deathprob,0.28,-610.3482742463898,bdmm
11,deathprob,0.29,-611.4554595641498,bdmm
11,deathprob,0.30,-612.635180226169,bdmm
11,deathprob,0.31,-613.888695206917,bdmm
11,deathprob,0.32,-615.2172469263942,bdmm
11,deathprob,0.33,-616.62205814274,bdmm
11,deathprob,0.34,-618.1043289751623,bdmm
11,deathprob,0.35,-619.6652341273813,bdmm
11,deathprob,0.36,-621.3059203875873,bdmm
11,deathprob,0.37,-623.0275044856398,bdmm
11,deathprob,0.38,-624.8310713916044,bdmm
11,deathprob,0.39,-626.7176731414916,bdmm
11,deathprob,0.40,-628.6883282760334,bdmm
11,deathprob,0.41,-630.7440219764021,bdmm
11,deathprob,0.42,-632.8857069769292,bdmm
11,deathprob,0.43,-635.1143053291989,bdmm
11,deathprob,0.44,-637.4307110845983,bdmm
11,deathprob,0.45,-639.8357939538564,bdmm
11,deathprob,0.46,-642.3304039927287,bdmm
11,deathprob,0.47,-644.9153773533745,bdmm
11,deathprob,0.48,-647.5915431317427,bdmm
11,deathprob,0.49,-650.3597313331572,bdmm
11,deathprob,0.50,-652.9815152416796,bdmm
